"EmployeeID","FirstName","LastName","Email","Gender","BirthDate","Age","DepartmentID","JobID","JobTitle","JobLevel","LocationID","HireDate","TerminationDate","EmploymentStatus","TerminationType","WorkerType","EmploymentType","Exempt","FTE","RemoteStatus","ManagerID","ManagerName","FinalTenureYears","CurrentSalary","CurrentBonusTarget"
108439,"Rose","Quillingberg","rose.quillingberg108439@synteccorp.com","Male",1966-07-18,59,1,1,"Chief Executive Officer",10,3,2016-08-30,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",NA,NA,9.53,767013,153403
104925,"Angela","Beckabrook","angela.beckabrook104925@synteccorp.com","Male",1968-09-10,57,1,1,"Chief Executive Officer",10,9,2018-08-16,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",7.56,831669,166334
102321,"Marcus","Clarkettward","marcus.clarkettward102321@synteccorp.com","Male",1964-08-31,61,1,1,"Chief Executive Officer",10,10,2018-08-22,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",7.55,807901,161580
100925,"Micah","Hollettden","micah.hollettden100925@synteccorp.com","Female",1981-05-17,44,1,1,"Chief Executive Officer",10,2,2021-10-10,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",4.41,446617,89323
107744,"Daniel","Ellberg","daniel.ellberg107744@synteccorp.com","Female",1992-06-14,33,1,2,"Chief Operating Officer",9,12,2013-12-11,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",12.24,615582,123116
100462,"Skyler","Brookebrook","skyler.brookebrook100462@synteccorp.com","Male",1988-03-02,38,1,2,"Chief Operating Officer",9,5,2014-06-18,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",11.73,590043,118009
105458,"Emerson","Coleleyley","emerson.coleleyley105458@synteccorp.com","Male",2001-10-05,24,1,2,"Chief Operating Officer",9,1,2015-01-22,NA,"Active",NA,"Contractor","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",11.13,520407,104081
101296,"River","Presaridge","river.presaridge101296@synteccorp.com","Female",1983-01-13,43,1,2,"Chief Operating Officer",9,10,2015-03-01,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",11.02,741449,148290
100679,"Eden","Presermere","eden.presermere100679@synteccorp.com","Non-Binary",1962-05-23,63,1,2,"Chief Operating Officer",9,6,2015-03-17,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",10.98,652973,130595
101306,"Justin","Burnithorne","justin.burnithorne101306@synteccorp.com","Male",1985-07-09,40,1,2,"Chief Operating Officer",9,3,2015-03-22,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",10.97,541699,108340
