"CandidateID","FirstName","LastName","Gender","RequisitionID","ApplicationDate","Source","CurrentStage","JobID","DepartmentID","JobTitle","JobLevel","Recruiter","InterviewScore","OfferAccepted","DaysToFill"
500001,"Daniela","Quilliway","Female",701416,2024-09-03,"Career Site","Interview",17,5,"Senior Financial Analyst",3,"D. Patel",2.5,NA,NA
500002,"Arthur","Lakesonmere","Male",702359,2024-07-27,"LinkedIn","Hired",38,11,"Legal Analyst",2,"S. Lee",2.7,"Yes",61
500003,"Elena","Langinridge","Female",700489,2025-08-20,"LinkedIn","Offer Extended",18,5,"Finance Manager",4,"A. Carter",4.9,"No",25
500004,"George","Blakeingman","Male",700984,2025-02-06,"LinkedIn","Hired",12,3,"Director of Product",6,"A. Carter",2.4,"Yes",49
500005,"Jeremiah","Foxlinshire","Male",700782,2024-05-24,"LinkedIn","Phone Screen",15,4,"IT Manager",4,"A. Carter",NA,NA,NA
500006,"Grace","Ellanquist","Female",702299,2024-10-21,"Networking Event","Phone Screen",19,5,"Director of Finance",6,"M. Davis",NA,NA,NA
500007,"Abigail","Goldenbrook","Female",702175,2024-10-05,"Indeed","Interview",40,11,"General Counsel",8,"K. Brown",2.3,NA,NA
500008,"Jordan","Windlinsen","Male",701208,2024-11-21,"Career Site","Phone Screen",16,5,"Financial Analyst",2,"S. Lee",NA,NA,NA
500009,"Carla","Fordaquist","Female",702500,2025-04-24,"LinkedIn","Withdrawn",24,6,"Director of HR",6,"M. Davis",NA,NA,NA
500010,"Paige","Blakewall","Female",700457,2024-02-29,"Internal","Rejected",11,3,"Senior Product Manager",4,"K. Brown",3.3,NA,NA
500011,"Kai","Crowafield","Female",701848,2024-02-20,"Referral","Phone Screen",37,10,"Director of Customer Support",5,"D. Patel",NA,NA,NA
500012,"Austin","Darnenstone","Male",700185,2024-12-05,"Networking Event","Applied",40,11,"General Counsel",8,"A. Carter",NA,NA,NA
500013,"Hannah","Rainanley","Female",701155,2025-12-05,"LinkedIn","Interview",19,5,"Director of Finance",6,"R. Thomas",2.6,NA,NA
500014,"Jacob","Blacksonland","Male",700801,2025-11-06,"Indeed","Phone Screen",33,9,"Operations Manager",4,"D. Patel",NA,NA,NA
500015,"James","Rowerthorne","Male",700549,2024-07-17,"Campus","Rejected",11,3,"Senior Product Manager",4,"K. Brown",2.9,NA,NA
500016,"Felix","Crossinstone","Male",701861,2025-09-28,"LinkedIn","Final Interview",5,2,"Software Engineer II",2,"K. Brown",2.1,NA,NA
500017,"Evelyn","Brookman","Non-Binary",702683,2025-06-21,"Career Site","Applied",1,1,"Chief Executive Officer",10,"A. Carter",NA,NA,NA
500018,"Audrey","Greenleywall","Female",702708,2026-02-10,"Referral","Phone Screen",24,6,"Director of HR",6,"J. Watson",NA,NA,NA
500019,"Roman","Ashingridge","Male",702715,2025-08-18,"Career Site","Offer Extended",25,7,"Marketing Specialist",1,"A. Carter",3.2,"No",64
500020,"Kai","Maranshire","Male",702777,2025-06-23,"Career Site","Final Interview",38,11,"Legal Analyst",2,"M. Davis",3.8,NA,NA
500021,"Caleb","Cranettstrom","Male",702099,2024-05-20,"Referral","Final Interview",16,5,"Financial Analyst",2,"J. Watson",2.9,NA,NA
500022,"Leah","Daloward","Female",702682,2024-05-18,"Indeed","Interview",25,7,"Marketing Specialist",1,"D. Patel",2.2,NA,NA
500023,"Delilah","Lakeiford","Female",700321,2025-12-21,"Referral","Withdrawn",29,8,"Account Executive",2,"D. Patel",NA,NA,NA
500024,"Kai","Grayarbrook","Female",700317,2024-08-01,"Indeed","Withdrawn",5,2,"Software Engineer II",2,"T. Nguyen",NA,NA,NA
