"ManagerID","DirectReports","ManagerName","ManagerDepartmentID","ManagerJobID"
100001,1,"Seth Rockleyman",2,6
100003,1,"Elizabeth Monerton",10,36
100004,1,"Noah Becksonmont",10,36
100006,2,"Angela Rainarshire",10,36
100007,1,"Kendall Dalenbrook",2,6
100010,7,"Stella Riveriway",7,27
100012,4,"Juliana Westelstead",3,11
100016,1,"Kiara Swaninstead",9,33
100017,2,"Allison Radunson",9,33
100020,3,"Emerson Rainsonquist",4,15
100024,1,"Nicole Finelwin",2,5
100028,2,"Kiara Millfield",2,5
100032,3,"Brianna Elluman",11,39
100039,2,"Mason Oaklinlin",10,36
100043,1,"Evan Roseham",5,17
100044,2,"Hudson Glensonford",8,30
100055,4,"Elliot Bramiway",9,34
100059,6,"Ella Yorkellwall",3,11
100060,4,"Alice Foxellberg",2,7
100061,1,"Liam Clarkarden",3,10
100063,2,"Isabella Pineostead",8,29
100064,2,"Sebastian Barinshire",2,6
100070,7,"Alexis Reedleyham",9,34
100074,6,"Melanie Blacklinmont",2,8
100079,4,"Finley Clarkelworth",5,18
100080,9,"Evan Fieldiwood",8,31
100090,1,"Alexander Valeelson",9,33
100093,1,"Miles Kingson",2,5
100094,2,"Luis Windleycott",6,23
100097,2,"Matthew Valetonquist",7,26
100100,2,"Jonathan Radthorne",2,7
100101,1,"Adrian Thornimere",6,21
100104,2,"Eden Sandettden",7,26
100111,8,"Michael Millcrest",2,8
100117,2,"Eden Brightubrook",2,6
100118,3,"Delilah Cartonthorne",8,29
100120,4,"Aiden Quillenstone",9,34
100124,1,"James Cranicott",10,36
100130,2,"Taylor Foxustone",9,33
100131,2,"Anna Goldorham",11,39
100135,2,"Phoenix Colewellson",3,11
100136,1,"Samantha Colearsen",10,36
100137,2,"Zoe Brightundale",3,10
100139,2,"Bella Kingtonstone",2,5
100141,3,"Dylan Lakeelwin",8,30
100144,1,"Blair Rowtonstead",8,29
100148,1,"Phoenix Willarham",6,21
100149,2,"Kennedy Willettcott",9,33
100150,5,"Grace Benningwell",2,7
100158,2,"Dakota Beckettbry",5,17
100161,3,"Dakota Chandingward",5,18
100163,1,"Gabriel Bararland",7,26
100166,1,"Avery Rockmont",6,22
100168,3,"Andrew Coletonstead",3,12
100172,3,"Maria Kinganwall",9,33
100173,1,"Jason Blandinman",9,33
100182,1,"Audrey Coleunlin",8,29
100183,1,"Marcus Perryorridge",2,6
100187,7,"Anna Thornimere",3,12
100196,1,"Avery Adlersonley",2,7
100202,2,"Stella Parkonford",3,10
100204,1,"Layla Hayham",9,33
100215,1,"Casey Hollufield",3,10
100216,3,"Naomi Brookinstrom",8,30
100220,3,"Autumn Hartelin",2,5
100221,4,"Destiny Yorkoward",9,34
100222,2,"Nathan Meadsonson",2,5
100226,1,"Jackson Rockland",2,5
100227,2,"Vincent Caraquist",10,36
100235,4,"Zoe Wrenuncroft",6,22
100236,2,"Isaac Brookunwell",2,6
100245,4,"Wesley Blandaden",2,7
100246,2,"Preston Eastumond",2,5
100249,1,"Audrey Delwellward",9,33
100250,2,"Oliver Caldtonbrook",8,30
100251,1,"Emily Swaningdale",2,6
100252,1,"Aria Hollerdale",3,11
100253,1,"Dakota Crowucott",9,33
100255,1,"Parker Rainumont",8,29
100257,4,"Luna Bellonridge",2,6
100259,1,"Tyler Swanesen",3,11
100264,2,"Dakota Wrenohart",9,33
100270,1,"Carter Lakesonwin",3,10
100271,1,"Dylan Burnley",2,6
100273,3,"Seth Oakoham",9,33
100274,1,"Kaitlyn Rowwellwall",2,5
100283,4,"Theodore Springanmore",9,33
100284,2,"Charlie Northstead",2,5
100286,3,"Angela Greenonden",10,37
100289,3,"Sawyer Silveranbry",9,33
100292,1,"Amy Kingettquist",2,5
100295,2,"Nora Ashson",2,7
100298,2,"George Fairandale",2,6
100306,3,"Leah Wolfingman",11,39
100315,4,"Luna Northwellton",2,7
100317,1,"Julian Stoneormore",2,5
100318,5,"Christopher Burnettcott",9,33
100320,1,"Alan Presoley",6,22
100322,3,"Samantha Parkoquist",6,22
100324,2,"Paul Barobry",8,30
100327,4,"Charlotte Glenanman",7,27
100329,1,"Julian Quillanford",6,21
100333,4,"Miles Clarkerworth",4,15
100334,2,"Joel Longarshire",6,21
100335,2,"Wesley Brightuward",10,36
100340,4,"Addison Brightby",3,11
100344,1,"Jeremiah Raintonmere",8,29
100345,5,"Wesley Kingenmond",4,15
100349,2,"Harley Riverwellway",9,33
100353,2,"Carmen Fairinton",2,6
100355,1,"Julian Deltonden",10,36
100358,2,"Leo Parkormond",3,11
100363,1,"Eden Ellarcroft",8,29
100364,1,"Violet Willwood",2,6
100365,2,"Stephen Goldeway",11,39
100367,3,"Aiden Carsonmont",2,8
100368,8,"Kingston Belltoncrest",10,37
100369,2,"Lane Greenedale",2,8
100373,1,"Kai Chandiway",8,29
100378,1,"Sydney Eastoby",2,6
100380,2,"Paul Millstead",6,22
100382,1,"Xavier Longcrest",4,15
100387,1,"Owen Fieldelman",2,5
100391,1,"Sage Foxarstone",8,29
100396,1,"Thomas Dunewall",2,7
100397,4,"Phoenix Haysen",10,37
100401,2,"Maria Darnenmere",8,30
100403,2,"Lily Barunmont",10,36
100404,3,"Evan Fairingham",7,27
100406,7,"Jack Crowunward",8,31
100407,2,"Gianna Windsoncrest",6,22
100413,2,"Nicholas Millridge",6,22
100414,2,"Caleb Rowonlin",2,7
100415,4,"Patrick Eastenson",7,27
100420,1,"Penelope Pineerhart",4,14
100431,2,"Erica Ashorquist",7,26
100438,10,"Alexis Parkondale",9,34
100439,1,"Sebastian Stormorwood",4,14
100440,2,"Savannah Camwellcott",2,6
100443,1,"Matthew Westingsen",2,5
100444,6,"Emma Stoneellford",2,6
100446,2,"Jonathan Croweward",8,29
100448,2,"Charlotte Wardestone",3,10
100451,7,"William Meadsonstone",5,19
100454,2,"Skyler Hawklinridge",5,17
100459,1,"Diana Eastenmere",3,10
100463,3,"Adam Parkonfield",4,14
100464,3,"Seth Bennunwell",9,33
100465,1,"Angela Grantenford",2,6
100467,1,"Maria Holliwood",2,6
100468,5,"Madison Stoneerridge",8,30
100475,1,"Sarah Summerarberg",9,33
100481,1,"Eden Torrlinmere",2,5
100482,4,"Emily Caldwancrest",5,18
100483,1,"Drew Preswellwall",2,5
100484,4,"Paige Hayonwin",10,36
100492,1,"Christopher Radorton",6,23
100493,1,"Rebecca Brookwellham",3,10
100495,1,"Alicia Lakeelwin",9,33
100499,5,"Jasmine Ashlinden",8,30
100502,2,"Alexis Camarquist",5,18
100504,4,"Gabriel Wrenenway",2,8
100511,1,"Riley Fieldellway",8,29
100513,1,"Zachary Blandtonmore",2,5
100516,2,"Carlos Marlinwin",4,15
100517,2,"Bailey Duniley",10,36
100518,4,"Morgan Beckenwin",2,7
100522,3,"Jasmine Stoneanmont",7,26
100524,1,"Hailey Chandunland",3,10
100529,2,"Finley Windtonwall",2,6
100531,1,"Rowan Foxahart",9,33
100532,2,"Gavin Ashleyham",7,26
100534,2,"Andrea Careland",2,6
100535,4,"Patrick Baroby",5,18
100536,2,"Dominic Barsonham",6,22
100538,1,"Aubrey Roseingworth",2,6
100540,2,"Oliver Reederstrom",8,30
100543,3,"Charles Barubry",7,26
100544,1,"Aaron Fieldwellham",2,5
100545,6,"Parker Ashwood",10,37
100547,1,"Emma Hartemore",3,10
100549,1,"Reese Lakeridge",4,14
100550,2,"Landon Pineson",5,18
100551,6,"Emerson Foxanbry",9,33
100552,1,"Grace Bennlinridge",8,29
100553,2,"Hayden Oakormond",2,6
100554,2,"Ashley Parkoquist",9,33
100559,4,"Elijah Yorkobrook",6,23
100560,2,"Ana Delunstone",2,7
100562,2,"Valentina Foxsonbrook",6,22
100564,1,"Nathan Blandustead",4,14
100571,3,"Alan Emham",7,26
100572,2,"Austin Grantenfield",2,6
100573,1,"Aiden Colewellman",10,36
100574,1,"Noah Hollercrest",2,5
100578,1,"Micah Norfield",9,33
100580,1,"Sage Colewellman",10,36
100581,3,"Rafael Willfield",2,7
100583,4,"Daniel Mononberg",10,36
100586,2,"Faith Carorfield",4,15
100588,2,"Harper Baruhart",2,6
100596,8,"Lucas Ashleyham",8,31
100597,7,"Evelyn Hayuton",3,12
100603,2,"Andrea Finway",2,7
100606,4,"Evan Cranorton",3,12
100615,1,"Quinn Kendton",5,17
100619,1,"Evelyn Bramtonmore",10,36
100622,6,"Sophia Caldworcrest",2,7
100623,4,"Nathan Rockanford",3,11
100624,1,"Leah Crowathorne",6,22
100630,3,"Penelope Fieldanridge",10,36
100635,1,"Delilah Roseonbrook",2,6
100636,2,"Carla Chandemont",9,33
100637,1,"Owen Greenarhart",2,5
100638,1,"Camila Oakuden",4,14
100641,2,"Rebecca Longanberg",3,11
100642,4,"Jessica Dalingman",9,33
100645,3,"Phoenix Rockland",8,29
100650,1,"Stella Wardcroft",5,17
100651,6,"Violet Ellettstead",2,6
100655,3,"Addison Perrycrest",5,17
100657,4,"Alex Fieldstead",8,30
100666,2,"Daniel Valewellmere",5,17
100667,2,"Juliana Ashemond",3,10
100670,1,"Aria Ellanwin",5,17
100671,3,"Seth Marerwell",8,29
100674,2,"Casey Colearwood",8,30
100678,1,"Patrick Riverormore",2,6
100683,5,"Joshua Rosesonham",10,36
100691,2,"Andrew Crossanworth",5,17
100693,3,"Kennedy Halleford",10,36
100695,1,"Anthony Marinfield",7,26
100700,1,"Ethan Hallerstrom",6,21
100701,2,"Anthony Valeinquist",10,36
100705,2,"Melanie Carmere",5,18
100708,2,"Logan Stoneinway",9,33
100709,2,"Layla Glenellstone",4,14
100710,3,"Melanie Wrenland",6,22
100712,1,"Jacob Hallerham",2,5
100715,1,"Patrick Hayancrest",7,26
100716,1,"Thomas Martonstone",8,29
100718,1,"Ian Caminwall",2,5
100720,3,"Sarah Meadoncrest",4,15
100722,9,"Christian Ashwellin",2,8
100725,1,"Joel Reedlinman",4,14
100729,1,"Luis Lakearcroft",2,5
100732,10,"Parker Westelstead",5,19
100733,6,"Ryan Norarman",2,8
100737,3,"Alexis Willettcott",6,22
100738,1,"Kevin Rowacott",2,5
100742,4,"Roman Radson",8,30
100747,3,"Eliana Finencott",9,33
100748,1,"Rose Blakeaden",2,6
100750,2,"Victor Fairunland",2,5
100751,1,"Christopher Brookelwood",9,33
100756,1,"Kendall Emuwell",4,14
100761,2,"Paige Blackway",2,6
100762,6,"Faith Windarmere",2,8
100766,1,"Nolan Stoneermere",10,36
100768,3,"Valentina Northercott",2,7
100771,2,"Wesley Haytonquist",2,5
100773,2,"Mia Dunanstrom",2,6
100776,1,"Emma Dunonquist",8,29
100779,1,"Logan Monsonwell",6,22
100784,2,"Jayden Wrenwellmere",2,7
100786,1,"Harper Caldwanridge",2,5
100787,4,"Jasmine Halluberg",8,29
100788,1,"Micah Eastarwin",8,30
100790,9,"Miles Hayingcroft",8,31
100791,2,"Elijah Summermond",3,10
100792,4,"Harley Coleunlin",9,33
100800,1,"Nora Bellson",2,5
100801,1,"Amelia Dunelstead",2,5
100805,3,"Harley Reedwellway",7,26
100809,4,"Elliot Rainarshire",9,33
100811,3,"Kiara Delormond",9,33
100815,7,"Ella Summerimore",2,8
100816,5,"Xavier Deltonman",2,8
100819,1,"Maya Brightiquist",2,5
100820,4,"Chloe Hallelworth",10,37
100822,1,"Audrey Coleuridge",8,29
100824,6,"Alex Roseway",3,11
100825,3,"Liam Perryinson",2,7
100829,2,"Grant Wolfingcroft",2,6
100830,1,"Robert Rainarlin",8,29
100835,3,"Ava Faircott",4,15
100837,2,"Adrian Willtonquist",2,5
100842,2,"Mason Lakeincott",5,17
100843,3,"Cameron Parkinman",2,6
100846,3,"Nathan Whitorwall",8,30
100847,2,"Jasmine Foxarwood",9,33
100848,1,"Jackson Crossleywell",6,22
100853,1,"Layla Millubry",7,26
100861,5,"Andrew Riverenbrook",2,7
100863,2,"Austin Bennethorne",2,6
100864,6,"Isaac Grayanson",8,30
100868,1,"Alexander Summerbrook",6,21
100871,3,"Vincent Torrelden",10,36
100873,2,"Jacob Glenorbry",3,11
100880,1,"Addison Grantlinsen",3,10
100884,1,"Jose Kendorthorne",2,5
100885,3,"Carmen Stonecott",8,29
100886,2,"Hailey Caldtonstrom",2,6
100888,2,"Kevin Blackinwall",2,7
100889,1,"Daniel Autumniman",3,11
100892,5,"Bailey Fairtonford",9,33
100901,1,"Marcus Colewellmont",5,17
100904,3,"Maria Hallersen",5,17
100905,1,"Jordan Whiteberg",8,30
100912,7,"Eleanor Willellcroft",2,8
100913,2,"Grant Oakinwin",8,30
100915,3,"Layla Summerenman",2,6
100923,2,"Cameron Carelwood",3,11
100926,2,"Justin Stormellwell",7,26
100927,3,"Alice Fairellway",2,5
100928,1,"Austin Quillanford",8,30
100929,1,"Maria Cranorton",2,6
100931,2,"Gianna Crossonward",3,10
100933,1,"Avery Autumnihart",2,6
100937,2,"Lillian Holloden",6,23
100938,1,"Gavin Yorkimere",2,5
100939,4,"Brianna Hawkman",3,12
100943,3,"Aiden Perryunfield",6,23
100945,3,"Caleb Bellushire",2,7
100947,4,"Albert Westbry",2,8
100949,1,"Nicholas Blakeiham",5,17
100952,2,"James Roseormore",2,6
100953,1,"Connor Longlincrest",8,29
100956,2,"Clara Stormistead",8,29
100957,2,"Alexis Brookinstrom",9,33
100960,3,"Sawyer Westuland",2,7
100964,1,"Aiden Summerenmond",2,5
100966,3,"Samantha Delormond",7,26
100967,3,"Benjamin Torremore",9,33
100969,4,"Gabriel Finusen",2,7
100970,3,"Elliot Clarkanbrook",2,7
100974,4,"Evan Wolfarden",2,6
100981,2,"Mason Carsonmont",4,14
100982,4,"Albert Norunberg",2,7
100983,1,"Valentina Moncrest",9,33
100986,1,"Jade Cranerward",3,11
100990,1,"Peyton Kendham",3,10
100991,3,"Victoria Hallardale",9,33
100993,1,"Camila Valeden",6,21
100994,1,"Albert Milleymore",8,29
100995,1,"River Hartelin",7,26
100998,1,"Daniel Rainleyman",2,5
101002,1,"Samantha Grayunstrom",2,7
101003,1,"Clara Grayleyman",2,7
101007,1,"Anthony Wolftoncott",9,33
101008,13,"Charles Springorberg",8,31
101015,3,"Sarah Riveronstead",3,10
101018,2,"Vincent Springsonlin",2,5
101020,3,"Jennifer Fairunberg",6,23
101027,6,"Roman Crowerworth",7,27
101028,3,"Nicholas Westsonby",6,23
101030,4,"Caleb Brightubrook",2,7
101032,1,"Owen Quillonberg",3,10
101033,1,"Marcus Hollorwood",2,5
101034,1,"Ashley Ellerlin",9,33
101039,4,"Madison Torriden",2,6
101041,2,"Kendall Millinman",2,6
101042,1,"Jamie Beckorbry",2,6
101049,2,"Jose Roseanlin",3,10
101053,1,"Wesley Windsoncrest",6,21
101055,1,"Carla Torruby",8,30
101059,1,"Eli Northanwell",4,14
101066,2,"Micah Parkonbrook",10,36
101069,1,"Amelia Raineford",2,6
101074,4,"Sebastian Rowiley",8,31
101080,1,"Isla Raineford",2,6
101082,3,"Hudson Goldlinland",9,33
101084,1,"Addison Willettcott",3,11
101086,1,"Samuel Blandtonbry",2,6
101087,1,"Jack Ashson",6,21
101088,1,"Brandon Lakeunwood",7,26
101092,2,"Henry Wardinmere",2,7
101095,1,"Chloe Grayonwin",2,6
101096,3,"Logan Whiteberg",2,5
101098,5,"Julia Westastead",5,18
101099,4,"Lucy Mononcroft",8,31
101101,1,"Scarlett Hawkaley",4,14
101102,3,"Nora Radabry",4,14
101104,3,"Lily Wrensonbry",6,22
101106,2,"Alexander Reedarman",3,11
101107,1,"Landon Hartanberg",3,10
101108,6,"Harper Daleby",7,27
101111,2,"Paige Wrenenthorne",2,5
101112,1,"Chloe Roseestead",10,36
101113,4,"Natalie Riverobrook",8,30
101114,1,"Maya Ellefield",8,29
101116,2,"Nora Rowleybry",6,22
